title,report_period,publication_datetime,page_url,pdf_url,local_path,sha256,text_path,guidance_found,macro_found,guidance_text_chars,macro_text_chars
2025年第四季度中国货币政策执行报告,2025Q4,2026-02-10 19:23:18,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/f5c4690f2cbd40918bf24c2d39ac58af/2026040808591661338/index.html,https://www.pbc.gov.cn/goutongjiaoliu/attachDir/2026/02/2026021019001885059.pdf,data\raw\pbc_reports\2025Q4_2025年第四季度中国货币政策执行报告.pdf,1406e9f5aee0667643dd7fadb9b88a3fc98a38eb4b49ad9bca2bb3d1b1ccf751,data\interim\2025Q4_clean_text.txt,True,True,2302,4747
2024年第四季度中国货币政策执行报告,2024Q4,2025-02-13 17:05:21,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/5347949/ad0bc3efe0234fed8cc6260a134a6e95/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/5347949/ad0bc3efe0234fed8cc6260a134a6e95/2025022618190099812.pdf,data\raw\pbc_reports\2024Q4_2024年第四季度中国货币政策执行报告.pdf,1a642956b21b758c04ae002a2eda12e12d64a4c00ff7a2e39201e75e9ba73ea3,data\interim\2024Q4_clean_text.txt,True,True,2488,4669
2023年第四季度中国货币政策执行报告,2023Q4,2024-02-08 18:19:21,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4883187/cd2196ad2fdf454a9207100c4acff45e/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4883187/cd2196ad2fdf454a9207100c4acff45e/2024030610591528512.pdf,data\raw\pbc_reports\2023Q4_2023年第四季度中国货币政策执行报告.pdf,c34996250367ae9535c0bb0992f5a048c81e3bc42976ae445950fadde77b6969,data\interim\2023Q4_clean_text.txt,True,True,2661,5217
2022年第四季度中国货币政策执行报告,2022Q4,2023-02-24 18:32:30,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/d7e45aa7d98c4664a9a6c2393d16787d/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/d7e45aa7d98c4664a9a6c2393d16787d/2023022418125754970.pdf,data\raw\pbc_reports\2022Q4_2022年第四季度中国货币政策执行报告.pdf,4a72a20428f8cf29dc76ccab5420d910a59f236d209ad55c3f9ecc01faa9afe7,data\interim\2022Q4_clean_text.txt,True,True,3272,6614
2021年第四季度中国货币政策执行报告,2021Q4,2022-02-11 19:33:17,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/75d90372c9174bde9287c2c30935b477/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/75d90372c9174bde9287c2c30935b477/2022021119311841777.pdf,data\raw\pbc_reports\2021Q4_2021年第四季度中国货币政策执行报告.pdf,357a207ab30677ae9dab439d44a3b1207a681895f93f30a0b71902ed1604e050,data\interim\2021Q4_clean_text.txt,True,True,3066,4679
