event_id,report_period,publication_datetime,equity_event_date,action_nearby_core,action_nearby_extended,linear_time_trend,post_2019,centered_time_trend,similarity_char_ngram,z_similarity_char_ngram,guidance_similarity_expanding_tfidf,guidance_similarity_full_sample_tfidf,guidance_novelty,guidance_novelty_full_sample_tfidf,fulltext_similarity_expanding_tfidf,fulltext_novelty_expanding_tfidf,fulltext_novelty_full_sample_tfidf,guidance_z_sentiment,macro_z_sentiment,guidance_z_policy_stance,macro_z_policy_stance,guidance_unexpected_tone,guidance_attention_growth,guidance_attention_inflation,guidance_attention_risk,guidance_attention_exchange_rate,guidance_attention_financial_stability,report_length,readability,guidance_novelty_x_post_2019,guidance_novelty_full_sample_tfidf_x_post_2019,fulltext_novelty_expanding_tfidf_x_post_2019,fulltext_novelty_full_sample_tfidf_x_post_2019,pre_event_volatility_20d,return_0_p1,return_0_p3,return_m1_p1,return_m1_p3,rv_0_3,rv_0_5,rv_0_10,log_rv_0_5
2006Q1,2006Q1,2006-05-31 14:12:00,2006-05-31,0,0,1,0,-39.5,,,,,,,,,,2.03259611376478,-0.9399775598149319,-0.6365062761517866,-1.0970153403308345,,2.6123301985370952,0.0,3.134796238244514,4.179728317659353,0.0,36406,58.62479871175523,,,,,0.0201674580760924,0.02741072363636632,0.027618713523956506,0.01749620672548291,0.01770218950996405,0.2800834607948936,0.44455271039202876,0.33669895148050455,-0.8106866474995325
2006Q2,2006Q2,2006-08-10 00:01:00,2006-08-10,0,0,2,0,-38.5,0.8167721324193157,-2.036399040260467,0.31715128718119184,0.18788114252565982,0.6828487128188081,0.8121188574743402,0.8775593246351286,0.12244067536487135,0.18779393594707583,-2.6794980974732407,-0.054266414749218124,-0.6365062761517866,-3.2805718064607,0.0,8.485639686684074,0.0,1.3054830287206267,6.5274151436031325,0.0,36356,59.40522875816993,0.0,0.0,0.0,0.0,0.0177020045643965,0.003288312060106602,-0.004412205371250422,0.019464587971850023,0.011639913114222189,0.29643391820874665,0.25772507835914177,0.19049800784861345,-1.3558618499580557
2006Q3,2006Q3,2006-11-14 17:01:00,2006-11-15,0,0,3,0,-37.5,0.849492695451443,-1.2543208733657145,0.40510839122740977,0.33528046209757906,0.5948916087725902,0.6647195379024209,0.8959588959596924,0.10404110404030764,0.13626821423341984,-1.3741584999109504,0.20944508684037075,-0.6365062761517866,-0.6913097660172866,0.0,3.667481662591687,0.0,2.444987775061125,0.0,0.0,32622,60.975700934579436,0.0,0.0,0.0,0.0,0.0124588853093715,-0.0009604094967167187,0.03804889618064555,0.02645108771328486,0.06653072482085665,0.1924754098528173,0.16045236401790333,0.15353012391196444,-1.8297581778613714
2006Q4,2006Q4,2007-02-09 17:45:00,2007-02-12,0,0,4,0,-36.5,0.8462568987374286,-1.3316620230291751,0.2570184957641674,0.18410146150250764,0.7429815042358325,0.8158985384974924,0.8793084151549805,0.12069158484501952,0.1704723626945096,2.622837412409963,0.40429059590540195,-0.6365062761517866,-0.6913097660172866,0.0,2.9394473838918285,0.0,1.1757789535567313,8.818342151675484,0.0,37597,62.55740432612313,0.0,0.0,0.0,0.0,0.0290475699345659,0.014982747188371226,0.07372720279135048,0.052303790392721705,0.11320828701280017,0.14685416412304222,0.203478176344585,0.5974940113884459,-1.5921965214002243
2007Q1,2007Q1,2007-05-10 19:40:00,2007-05-11,0,0,5,0,-35.5,0.8678506357225637,-0.8155342833823948,0.4821418135092211,0.37192225450698735,0.517858186490779,0.6280777454930127,0.8899530963327981,0.11004690366720193,0.1547455586531986,-0.7644846187746123,0.33682186616753523,-0.6365062761517866,-0.8564004580363063,0.0,6.829268292682927,0.0,0.0,3.902439024390244,0.0,36889,58.461172741679874,0.0,0.0,0.0,0.0,0.0198074433639551,0.008590692192430582,-0.0006279350901472469,0.002660752689615409,-0.006503674308835361,0.41117989106966873,0.34998669477985594,0.2731841593824885,-1.0498601401359602
2007Q2,2007Q2,2007-08-08 17:30:00,2007-08-09,0,0,6,0,-34.5,0.8740701910260159,-0.6668761320587626,0.5312460439547152,0.4374899235469442,0.4687539560452848,0.5625100764530557,0.8891530268860567,0.11084697311394331,0.13666293124487194,0.09011801234799179,-0.5237907793311704,-0.6365062761517866,-0.7172948660137195,0.0,5.597014925373134,0.9328358208955224,0.9328358208955224,6.529850746268656,0.0,42085,60.29369627507163,0.0,0.0,0.0,0.0,0.0222838866392247,-0.010592415861223281,0.003826859015767514,0.012552465281816527,0.02730904543981283,0.2461589716653342,0.23984381365425791,0.3432670584992523,-1.4277673439276406
2007Q3,2007Q3,2007-11-08 17:57:00,2007-11-09,0,0,7,0,-33.5,0.8874760291139877,-0.34645336710711716,0.6088616585529069,0.5579776150907404,0.39113834144709314,0.4420223849092596,0.8954242339556918,0.10457576604430818,0.12572019313945082,-0.3503338459316147,-0.6852422422580632,-0.6365062761517866,-0.7972538697132416,0.0,5.994005994005994,0.0,0.999000999000999,6.993006993006993,0.0,39980,59.142011834319526,0.0,0.0,0.0,0.0,0.0213009025919658,-0.012354467044603301,0.020903179728302135,-0.022658912465650882,0.010251745843713023,0.41413887707531427,0.3477125103595731,0.3557278695172558,-1.0563792602889566
2007Q4,2007Q4,2008-02-22 17:02:00,2008-02-25,0,0,8,0,-32.5,0.8835388680493265,-0.4405583403374468,0.537526526229352,0.45328848972623376,0.46247347377064796,0.5467115102737663,0.9041325307535544,0.09586746924644562,0.11694289734685348,-0.8914096967295781,-0.09313181075963582,-0.6365062761517866,-0.6913097660172866,0.0,3.108348134991119,0.44404973357015987,3.108348134991119,4.440497335701599,0.0,42022,59.18591549295775,0.0,0.0,0.0,0.0,0.0366448975690638,-0.0009403106299572528,0.022627856248850664,-0.03970617414122324,-0.017052507517160476,0.4312157653915961,0.3860539217806497,0.3710797949622461,-0.951778225541314
2008Q1,2008Q1,2008-05-14 17:59:00,2008-05-15,1,1,9,0,-31.5,0.8859908485654209,-0.3819517562940765,0.6206118780714912,0.5403131137156676,0.3793881219285088,0.4596868862843324,0.8992254976396243,0.10077450236037566,0.1262018745235869,0.4995663309473223,-0.8124082296993562,-0.6365062761517866,0.16929800848650878,0.0,4.248088360237893,1.6992353440951573,0.8496176720475787,5.9473237043330505,0.0,40712,62.63384615384616,0.0,0.0,0.0,0.0,0.0333010425034603,-0.0030310874529646537,-0.06009744463649236,-0.009975647558140732,-0.06664449911992154,0.3718071917080979,0.37397251965581596,0.36041907435298737,-0.9835729611232686
2008Q2,2008Q2,2008-08-15 16:23:00,2008-08-18,0,0,10,0,-30.5,0.8614352659253443,-0.9688727404876407,0.5698260215515936,0.5326496508175302,0.43017397844840644,0.46735034918246976,0.8991925802929948,0.10080741970700524,0.12725177706563462,-0.6005652649845422,-0.7376773235165667,-0.6365062761517866,-1.2127905304373998,0.0,4.908835904628331,0.7012622720897616,0.7012622720897616,2.1037868162692845,0.0,40263,60.00447093889717,0.0,0.0,0.0,0.0,0.0219207930498944,0.015159492383943762,0.056443713630402126,-0.040505961926201484,-0.0014855277484407958,0.9452294314919149,0.7400200722494505,0.5782923757497651,-0.30107796849036894
2008Q3,2008Q3,2008-11-17 18:59:00,2008-11-18,0,0,11,0,-29.5,0.8416166440273092,-1.4425721529695337,0.36801339298099367,0.30629483291534276,0.6319866070190063,0.6937051670846572,0.8729826967640905,0.12701730323590954,0.1352721432518681,-1.4211799993966352,-1.112182700324971,3.9665732895845056,-0.34463210059237387,4.603079565736293,7.900677200902935,0.0,1.128668171557562,0.0,0.0,36999,58.45023696682465,0.0,0.0,0.0,0.0,0.0333028744167234,0.06160606016135284,0.04398041329065516,-0.017140484846959958,-0.03345871755840435,0.8806708315804027,0.724025931615033,0.5524260331674141,-0.32292807009000374
2008Q4,2008Q4,2009-02-23 19:41:00,2009-02-24,0,0,12,0,-28.5,0.8334028211689111,-1.6388967552689142,0.43669165688977546,0.38266374962267563,0.5633083431102246,0.6173362503773243,0.8733900678909484,0.12660993210905158,0.13798458727510687,0.47938863784204705,-1.326222265206094,3.012964855389017,0.8775501344976346,3.2310093528375043,6.7658998646820026,0.6765899864682003,2.0297699594046006,8.119079837618402,0.0,44814,59.752,0.0,0.0,0.0,0.0,0.0215880625918015,0.0010435089356426452,-0.07010016730028779,-0.044070042452108105,-0.11200752049072371,0.36899214243390166,0.38992442356053847,0.5281412024487923,-0.941802344379537
2009Q1,2009Q1,2009-05-06 16:10:00,2009-05-07,0,0,13,0,-27.5,0.8282905690216468,-1.7610884420106898,0.5815080357204796,0.481797726308414,0.4184919642795204,0.518202273691586,0.8684572357206918,0.13154276427930822,0.15037863502368032,0.5984502032356986,-1.7685945078501382,-2.9978213685170876,1.1205028966014712,-5.350095297702682,0.8547008547008547,0.0,4.273504273504274,7.6923076923076925,0.0,36417,59.60229132569558,0.0,0.0,0.0,0.0,0.0210880104423798,0.00800231001967422,0.007764875269056448,0.008766793527184236,0.008529178702623152,0.30501703805820385,0.25105458172454664,0.22433998454284293,-1.3820849064208078
2009Q2,2009Q2,2009-08-05 17:00:00,2009-08-06,0,0,14,0,-26.5,0.8655414372834446,-0.8707281283198822,0.5723415716860687,0.51282118207113,0.4276584283139313,0.48717881792886997,0.9033992399049416,0.09660076009505836,0.11481743403341438,1.5483645205382457,-1.6472674912449865,2.0236937622534503,1.4445941483842832,2.6060001011761957,4.595588235294118,0.0,6.4338235294117645,9.191176470588236,0.9191176470588235,38486,59.391975308641975,0.0,0.0,0.0,0.0,0.0184850169753962,-0.029489888401144415,-0.029140459499006233,-0.04967767425050851,-0.04933551389277979,0.24236251262054084,0.3454307251041085,0.4986897433613426,-1.0629631620894442
2009Q3,2009Q3,2009-11-11 16:00:00,2009-11-12,0,0,15,0,-25.5,0.8482807040135979,-1.2832895693221795,0.6430233413839709,0.607022188761109,0.3569766586160291,0.392977811238891,0.9120071084791336,0.08799289152086642,0.09555964676709272,3.0850416423824196,-0.740113404651855,1.6114503211365798,-0.27037314145715274,1.7066954269283403,5.695687550854353,0.8136696501220504,4.882017900732302,4.882017900732302,0.8136696501220504,36238,62.15780445969125,0.0,0.0,0.0,0.0,0.0146228946945509,0.005351440803293306,0.036674940971293646,0.006593292166260367,0.0379554844072989,0.2246734822820223,0.18509901400899853,0.32508692941511,-1.6868643862186095
2009Q4,2009Q4,2010-02-11 18:20:09,2010-02-12,1,1,16,0,-24.5,0.839860138274551,-1.4845556847904382,0.6384664776482999,0.597512363012782,0.3615335223517001,0.402487636987218,0.9093871069290971,0.09061289307090292,0.09574451983637744,0.6115001399425473,-0.7657666715864251,1.3368784796106434,0.1835870780267421,1.1519029843791788,5.714285714285714,0.7142857142857143,2.142857142857143,5.0,1.4285714285714286,44282,57.285899094437255,0.0,0.0,0.0,0.0,0.0138118840473411,-0.005515677219850135,-0.0020899473991456974,0.004020310533045857,0.007478889255303267,0.18969069777559375,0.1749827795191749,0.19706382607616674,-1.743067712648063
2010Q1,2010Q1,2010-05-10 17:30:05,2010-05-11,0,0,17,0,-23.5,0.8269235664523291,-1.7937621726706008,0.6795816965593126,0.5926068382318118,0.32041830344068745,0.4073931617681882,0.8923841431844383,0.10761585681556174,0.11883569754932288,0.9333635171549423,-0.8265136097991497,1.4708458657760566,-0.1403376760952425,1.1678325702412682,4.576659038901602,0.7627765064836003,3.8138825324180012,7.6277650648360025,1.5255530129672006,39745,59.40956651718984,0.0,0.0,0.0,0.0,0.0176101373861858,0.006192121798746619,0.0239951414176649,-0.014020200592464005,0.00342519311756595,0.30062660879421715,0.46203908846896147,0.4092300691134661,-0.7721057844037008
2010Q2,2010Q2,2010-08-05 18:45:48,2010-08-06,0,0,18,0,-22.5,0.8698680733739694,-0.7673140269434499,0.7205296209551315,0.6257001646287321,0.2794703790448685,0.3742998353712679,0.9006825419217742,0.09931745807822578,0.11549167334080024,1.31357630947342,-0.387733759000437,1.3145803467771697,-0.5797959087696068,0.8900431586559581,4.237288135593221,1.4124293785310735,3.5310734463276834,9.887005649717516,1.4124293785310735,42987,60.54507042253521,0.0,0.0,0.0,0.0,0.0138176303292461,0.00710297519480374,-0.01637459756306736,0.023646455118844223,-0.00021677904918193658,0.32002112180287934,0.27971927578436995,0.2524307771715747,-1.2739687652232892
2010Q3,2010Q3,2010-11-02 18:21:02,2010-11-03,0,0,19,0,-21.5,0.8611921180036939,-0.974684397232724,0.9075954990830326,0.8893641837000934,0.09240450091696739,0.1106358162999066,0.9054678392664027,0.09453216073359727,0.10027535421383493,1.415226623975697,-0.40737699460952503,1.1176135067481512,-0.418429284113162,0.631539698045892,3.8095238095238093,1.2698412698412698,2.5396825396825395,8.88888888888889,1.2698412698412698,43429,59.00679347826087,0.0,0.0,0.0,0.0,0.016115396638184,0.017590059002889014,0.03748895212494885,0.005016847471262409,0.0246698724362433,0.20612551354691847,0.192727232218542,0.38915735830163384,-1.646479394301282
2010Q4,2010Q4,2011-01-30 19:23:48,2011-01-31,1,1,20,0,-20.5,0.8630991031105036,-0.9291041480430938,0.3532318256760631,0.35425686868021433,0.6467681743239369,0.6457431313197857,0.9115828157787693,0.08841718422123068,0.09189610156304806,0.45025670725441397,-0.46874687235415824,-0.6365062761517866,3.349280528880783,-1.1442146088224932,0.0,2.7624309392265194,0.0,0.0,0.0,43935,61.020833333333336,0.0,0.0,0.0,0.0,0.0167148001816535,0.000251908982521698,0.008989087627921055,0.013352498653981915,0.02220411066490824,0.22793099650210752,0.24366841940160636,0.20741633524631728,-1.4119469147596917
2011Q1,2011Q1,2011-05-03 18:35:17,2011-05-04,0,0,21,0,-19.5,0.8585256373893105,-1.0384179053911788,0.3018678750854167,0.2679369294594786,0.6981321249145833,0.7320630705405213,0.8482319065055993,0.15176809349440068,0.14108873199484728,-0.09369693444684167,-1.2390380942171473,-0.6365062761517866,-0.4751837944775382,-0.8624128170884378,4.7281323877068555,1.7730496453900708,3.5460992907801416,5.319148936170213,1.1820330969267139,45608,65.90751445086705,0.0,0.0,0.0,0.0,0.0097615878420225,-0.000930320853632427,0.00023361887461548214,-0.026475087290089516,-0.02534090781693188,0.20569092919700255,0.18203525084499061,0.16697131394676243,-1.703554924698559
2011Q2,2011Q2,2011-08-12 16:13:59,2011-08-15,0,0,22,0,-18.5,0.9006529001588083,-0.03150331132649667,0.7827658777736947,0.7284248964688494,0.21723412222630534,0.27157510353115055,0.9165849446722549,0.08341505532774507,0.09294686647902173,0.8461995111875058,-0.8055411516743325,-0.6365062761517866,-1.2294695746157793,-0.8044454451277978,3.3333333333333335,2.0,4.0,8.0,2.0,43222,60.281729428172945,0.0,0.0,0.0,0.0,0.0128627066244793,-0.006957784119513977,-0.028660847607666184,0.007726323440676364,-0.01429766307929603,0.2159094771014369,0.17560760959258281,0.24863002060396244,-1.7395032639103494
2011Q3,2011Q3,2011-11-16 15:30:00,2011-11-17,0,0,23,0,-17.5,0.8860448816655111,-0.3806602715531596,0.7382654445682917,0.7068397531499941,0.2617345554317083,0.29316024685000586,0.9193753807287174,0.08062461927128262,0.08560312370574952,0.7206375087074706,-0.9469985634059018,-0.6365062761517866,-0.7071704074228821,-0.7537798735579179,1.9607843137254901,1.3071895424836601,3.9215686274509802,7.8431372549019605,3.2679738562091503,42857,60.87642045454545,0.0,0.0,0.0,0.0,0.0148718346009416,-0.020857116990612767,-0.01973766508628605,-0.023827054704739448,-0.022710998323668408,0.16301874187623996,0.1399149491802335,0.24675609237916488,-1.96672054683476
