report_id,report_period,section,found,raw_positive_count,raw_negative_count,raw_dovish_count,raw_hawkish_count,normalized_sentiment,normalized_policy_stance,effective_chars,sentence_count,attention_growth,attention_inflation,attention_risk,attention_exchange_rate,attention_financial_stability,attention_real_estate,z_sentiment,z_policy_stance
2006Q1,2006Q1,guidance,True,183.49999999999997,13.0,0.0,-1.0,89.08045977011493,0.5224660397074191,1914,33,7.836990595611285,0.0,4.179728317659353,6.792058516196446,1.0449320794148382,1.567398119122257,2.03259611376478,-0.39531019329632106
2006Q1,2006Q1,macro,True,366.4500000000001,167.3,2.0,5.0,15.04381326484364,-0.2266203353980964,13238,276,13.748300347484514,1.5108022359873092,2.1151231303822327,0.9064813415923856,0.07554011179936546,6.269829279347333,-0.9399775598149319,-0.9772598007663281
2006Q2,2006Q2,guidance,True,106.85000000000001,23.4,0.0,1.0,54.47127937336816,-0.6527415143603134,1532,30,28.720626631853786,0.0,1.3054830287206267,13.70757180156658,0.0,0.6527415143603134,-2.6794980974732407,-0.9382910755688391
2006Q2,2006Q2,macro,True,487.95,172.25,2.0,21.08,25.97285067873303,-1.569724393253805,12155,259,18.51090086384204,2.385849444672974,1.7276840806252571,5.100781571369807,0.24681201151789386,2.0567667626491155,-0.054266414749218124,-3.2789722591635186
2006Q3,2006Q3,guidance,True,59.5,7.1,1.0,0.0,64.05867970660147,1.2224938875305624,818,14,23.227383863080686,0.0,2.444987775061125,0.0,0.0,1.2224938875305624,-1.3741584999109504,-0.07187648398199567
2006Q3,2006Q3,macro,True,392.1500000000001,98.80000000000001,5.0,6.0,29.22686061572184,-0.09963136395337252,10037,196,24.708578260436386,1.5941018232539603,1.5941018232539603,0.4981568197668626,0.0,3.0885722825545483,0.20944508684037075,-0.7596354879338465
2006Q4,2006Q4,guidance,True,172.9,14.0,0.0,0.0,93.41563786008231,0.0,1701,33,12.345679012345679,0.0,1.763668430335097,18.224573780129337,0.5878894767783657,0.5878894767783657,2.622837412409963,-0.6367050602845676
2006Q4,2006Q4,macro,True,539.24,124.05000000000001,8.0,8.0,31.631113819899436,0.0,13126,233,15.084564985524912,1.1427700746609781,1.9046167911016305,0.6094773731525217,0.30473868657626085,3.123571537406674,0.40429059590540195,-0.5888946206739408
2007Q1,2007Q1,guidance,True,80.25,10.0,0.0,0.0,68.53658536585367,0.0,1025,15,38.048780487804876,0.0,0.0,10.731707317073171,0.0,0.0,-0.7644846187746123,-0.6367050602845676
2007Q1,2007Q1,macro,True,451.7299999999999,117.75,1.0,2.0,30.79859830320914,-0.09221689413500554,10844,244,22.869789745481373,1.2910365178900773,1.4754703061600887,3.5964588712652157,0.09221689413500554,1.198819623755072,0.33682186616753523,-0.7469291176019816
2007Q2,2007Q2,guidance,True,92.2,12.0,0.0,3.1,74.8134328358209,-2.8917910447761193,1072,17,21.455223880597014,2.798507462686567,0.9328358208955224,13.059701492537313,3.7313432835820897,0.9328358208955224,0.09011801234799179,-1.9727986272510434
2007Q2,2007Q2,macro,True,516.3499999999999,238.29999999999998,2.0,3.2,20.179258291603162,-0.08708904855214458,13779,268,15.095435082371726,6.676827055664417,2.3949488351839756,0.7983162783946586,0.3628710356339357,3.2658393207054215,-0.5237907793311704,-0.7381413948683824
2007Q3,2007Q3,guidance,True,85.64999999999999,14.0,1.0,2.1,71.57842157842157,-1.098901098901099,1001,18,24.975024975024976,1.998001998001998,0.999000999000999,10.989010989010989,2.997002997002997,0.999000999000999,-0.3503338459316147,-1.1444300882136929
2007Q3,2007Q3,macro,True,609.4150000000001,302.09000000000003,1.0,2.0,18.187063557817496,-0.05917860101787194,16898,337,14.676293052432241,8.285004142502071,3.3731802580187007,1.5386436264646703,0.2958930050893597,4.142502071251036,-0.6852422422580632,-0.6903105328935925
2007Q4,2007Q4,guidance,True,173.245,21.0,0.0,5.1,67.60435168738898,-2.2646536412078153,2252,42,13.321492007104794,1.3321492007104796,3.996447602131439,10.213143872113678,0.0,2.664298401420959,-0.8914096967295781,-1.6830424735257175
