report_id,all_sentence_mean,policy_relevant_mean,directional_sentence_mean,n_sentences,n_policy_relevant,n_directional
2006Q1,0.01248321560549126,-0.05408137873279206,,2,1,0
2006Q2,0.13724321724021182,,,2,0,0
2006Q3,0.15875033829601548,0.18957849157650852,0.18957849157650852,2,1,1
2006Q4,-0.523323741410429,-1.0896958798995013,-1.0896958798995013,2,1,1
2007Q1,0.19654162569408762,,,2,0,0
2007Q2,-0.5240054712267894,-0.9379625611565704,-0.9379625611565704,2,1,1
2007Q3,-0.15611407501214292,-0.45579183891953623,-0.45579183891953623,2,1,1
2007Q4,-0.07751541219792024,,,2,0,0
2008Q1,-0.04283684732225701,-0.2947434053704963,,2,1,0
2008Q2,0.17524117996811928,,,2,0,0
2008Q3,0.22555627682998225,,,2,0,0
2008Q4,-0.19776510395105817,,,2,0,0
2009Q1,0.0809893569482888,,,2,0,0
2009Q2,0.08516912345846173,,,2,0,0
2009Q3,0.20913644689034694,,,2,0,0
2009Q4,-0.6158464564214208,-1.1623246660524678,-1.1623246660524678,2,1,1
2010Q1,0.15439503657961545,,,2,0,0
2010Q2,0.37061432517275616,0.6150656425766785,0.6150656425766785,2,1,1
2010Q3,0.09616831329365094,,,2,0,0
2010Q4,0.15191923390027462,0.055532791367456924,,2,1,0
2011Q1,0.17890172905141688,0.25233588101612836,0.25233588101612836,2,1,1
2011Q2,0.2409139388358572,0.30014710717128035,,2,1,0
2011Q3,0.40678883102328506,0.7435404595276311,0.7435404595276311,2,1,1
2011Q4,0.016930974516677355,0.023879103878202135,,2,1,0
2012Q1,0.24812692784028745,0.4832130584858357,,2,1,0
2012Q2,0.7141437064964258,1.3709060550571477,1.3709060550571477,2,1,1
2012Q3,0.7190581408209352,1.4207046107752528,1.4207046107752528,2,1,1
2012Q4,-0.5749633702217922,-1.166180414986799,-1.166180414986799,2,1,1
2013Q1,0.49522145398004586,0.9739517573096348,0.9739517573096348,2,1,1
2013Q2,0.08419130396858687,0.15220386775379124,,2,1,0
2013Q3,0.29106080921547706,0.5779717340989994,0.5779717340989994,2,1,1
2013Q4,0.05551372378478214,,,2,0,0
2014Q1,0.1069315480211408,-0.017056736746068335,,2,1,0
2014Q2,0.03200495485085475,0.03571555402017246,,2,1,0
2014Q3,-0.007642344735806161,-0.04104937469227765,,2,1,0
2014Q4,0.015623518360258548,0.015965501104102886,,2,1,0
2015Q1,0.004329400455222454,-0.029072381824452265,,2,1,0
2015Q2,0.01594159064882683,0.017150971577924334,,2,1,0
2015Q3,0.013586144756024598,0.021001074131902442,,2,1,0
2015Q4,0.11988737262946192,0.011938184228719395,,2,1,0
2016Q1,0.03156681271364681,0.03156681271364681,,1,1,0
2016Q2,0.028569337941812267,0.028569337941812267,,1,1,0
2016Q3,0.09425371155977413,0.09425371155977413,,1,1,0
2016Q4,0.06377496105307157,0.06377496105307157,,1,1,0
2017Q1,0.06377496105307157,0.06377496105307157,,1,1,0
2017Q2,-0.027844593541784812,-0.027844593541784812,,1,1,0
2017Q3,0.1139332138705994,,,1,0,0
2017Q4,0.13198519106715767,,,1,0,0
2018Q1,0.08084569896762617,,,1,0,0
2018Q2,1.066233814132007,1.066233814132007,1.066233814132007,1,1,1
2018Q3,1.533435555744127,1.533435555744127,1.533435555744127,1,1,1
2018Q4,1.3329739352369385,1.3329739352369385,1.3329739352369385,1,1,1
2019Q1,0.7370351024322735,0.7370351024322735,0.7370351024322735,1,1,1
2019Q2,1.221182516834984,1.221182516834984,1.221182516834984,1,1,1
2019Q3,1.0625054352022616,1.0625054352022616,1.0625054352022616,1,1,1
2019Q4,0.9482772627041604,0.9482772627041604,0.9482772627041604,1,1,1
2020Q1,0.5194781402328165,0.5194781402328165,0.5194781402328165,1,1,1
2020Q2,1.3282364391056443,1.3282364391056443,1.3282364391056443,1,1,1
2020Q3,0.9213421712754685,0.9213421712754685,0.9213421712754685,1,1,1
2020Q4,0.6563619682314088,0.6563619682314088,0.6563619682314088,1,1,1
2021Q1,0.34683260940494165,,,1,0,0
2021Q2,0.20788265579201237,,,1,0,0
2021Q3,0.3890476384731237,0.3890476384731237,0.3890476384731237,1,1,1
2021Q4,0.2724123463353052,,,1,0,0
2022Q1,0.6239549559773988,0.6239549559773988,0.6239549559773988,1,1,1
2022Q2,0.7650392567219048,0.7650392567219048,0.7650392567219048,1,1,1
2022Q3,0.26933291931908687,,,1,0,0
2022Q4,0.36162599503952797,,,1,0,0
2023Q1,0.23269866259454175,0.23269866259454175,,1,1,0
2023Q2,0.6661351209209476,0.6661351209209476,0.6661351209209476,1,1,1
2023Q3,0.30492940994746914,0.30492940994746914,0.30492940994746914,1,1,1
2023Q4,0.26771873582956973,0.26771873582956973,,1,1,0
2024Q1,0.2883319923536706,0.2883319923536706,,1,1,0
2024Q2,1.170466094971205,1.170466094971205,1.170466094971205,1,1,1
2024Q3,1.0227186584564634,1.0227186584564634,1.0227186584564634,1,1,1
2024Q4,1.4241340056312748,1.4241340056312748,1.4241340056312748,1,1,1
2025Q1,1.336755964510534,1.336755964510534,1.336755964510534,1,1,1
2025Q2,0.3289747921146403,0.3289747921146403,,1,1,0
2025Q3,1.1304590234571936,1.1304590234571936,1.1304590234571936,1,1,1
2025Q4,0.022316135509992785,0.022316135509992785,,1,1,0
