event_id,similarity_group,relative_day,abs_return
2009Q1,高创新度,5,0.0076076623886595
2009Q1,高创新度,6,0.0012601173746158
2009Q1,高创新度,7,0.0051703863502086
2009Q1,高创新度,8,0.0104999941293109
2009Q1,高创新度,9,0.0095838714629566
2009Q1,高创新度,10,0.0223455444893372
2009Q2,高创新度,0,0.0208012112476664
2009Q2,高创新度,1,0.0294898884011444
2009Q2,高创新度,2,0.0029692596119089
2009Q2,高创新度,3,0.0033392212640346
2009Q2,高创新度,4,0.0447014164704228
2009Q2,高创新度,5,0.0127803614528756
2009Q2,高创新度,6,0.0280043710510866
2009Q2,高创新度,7,0.0610534668954229
2009Q2,高创新度,8,0.010099446831181
2009Q2,高创新度,9,0.0496275834760934
2009Q2,高创新度,10,0.0430648769574943
2009Q3,高创新度,0,0.0012352410436442
2009Q3,高创新度,1,0.0053514408032933
2009Q3,高创新度,2,0.0304303664796479
2009Q3,高创新度,3,0.0007049482624239
2009Q3,高创新度,4,0.0005167632485694
2009Q3,高创新度,5,0.0033628732512467
2009Q3,高创新度,6,0.0031363617270525
2009Q3,高创新度,7,0.0095003790953103
2009Q3,高创新度,8,0.0320362056129176
2009Q3,高创新度,9,0.0229839800680931
2009Q3,高创新度,10,0.0396338027936188
2009Q4,高创新度,0,0.0095888769027927
2009Q4,高创新度,1,0.0055156772198501
2009Q4,高创新度,2,0.0107353220890439
2009Q4,高创新度,3,0.0143339312969223
2009Q4,高创新度,4,0.0146849282304761
2009Q4,高创新度,5,0.0031778837274857
2009Q4,高创新度,6,0.013029052926166
2009Q4,高创新度,7,0.0039667033948447
2009Q4,高创新度,8,0.0072012384499324
2009Q4,高创新度,9,0.0253391147021617
2009Q4,高创新度,10,0.0028275014897374
2010Q1,高创新度,0,0.0200879354482297
2010Q1,高创新度,1,0.0061921217987466
2010Q1,高创新度,2,0.0243957049990064
2010Q1,高创新度,3,0.0065426332851965
2010Q1,高创新度,4,0.0534542435677817
2010Q1,高创新度,5,0.0208614900643344
2010Q1,高创新度,6,0.003310302423225
2010Q1,高创新度,7,0.0130882413635057
2010Q1,高创新度,8,0.0156891617162298
2010Q1,高创新度,9,0.0378063927540937
2010Q1,高创新度,10,0.0207157272272642
2010Q2,高创新度,0,0.016426800765672
2010Q2,高创新度,1,0.0071029751948037
2010Q2,高创新度,2,0.0293337664709666
2010Q2,高创新度,3,0.0062037577692595
2010Q2,高创新度,4,0.011867542438086
2010Q2,高创新度,5,0.0139046991428022
2010Q2,高创新度,6,0.0233006145582614
2010Q2,高创新度,7,0.0069156146488651
2010Q2,高创新度,8,0.0016752251901664
2010Q2,高创新度,9,0.0061391820279557
2010Q2,高创新度,10,0.0193077405896673
2010Q3,低创新度,0,0.0123558710311564
2010Q3,低创新度,1,0.017590059002889
2010Q3,低创新度,2,0.0115767683137935
2010Q3,低创新度,3,0.0078868483792595
2010Q3,低创新度,4,0.0069357594025303
2010Q3,低创新度,5,0.007049751500729
2010Q3,低创新度,6,0.0031047886163084
2010Q3,低创新度,7,0.0621491606065569
2010Q3,低创新度,8,0.0070052156351796
