report_id,report_period,publication_datetime,guidance_attention_exchange_rate,macro_attention_exchange_rate,guidance_attention_financial_stability,macro_attention_financial_stability,guidance_attention_growth,macro_attention_growth,guidance_attention_inflation,macro_attention_inflation,guidance_attention_risk,macro_attention_risk,guidance_normalized_policy_stance,macro_normalized_policy_stance,guidance_normalized_sentiment,macro_normalized_sentiment,guidance_z_policy_stance,macro_z_policy_stance,guidance_z_sentiment,macro_z_sentiment,fulltext_similarity_full_sample_tfidf,fulltext_similarity_expanding_tfidf,fulltext_novelty_expanding_tfidf,fulltext_novelty_full_sample_tfidf,similarity_char_ngram,z_similarity_char_ngram,report_length,readability,guidance_similarity_expanding_tfidf,guidance_similarity_full_sample_tfidf,guidance_novelty,guidance_novelty_full_sample_tfidf,guidance_attention_growth_change,guidance_attention_inflation_change,guidance_attention_risk_change,guidance_attention_exchange_rate_change,guidance_attention_financial_stability_change,macro_attention_growth_change,macro_attention_inflation_change,macro_attention_risk_change,macro_attention_exchange_rate_change,macro_attention_financial_stability_change,guidance_expected_tone,guidance_unexpected_tone,guidance_expected_method,in_formal_sample
2006Q1,2006Q1,2006-05-31 14:12:00,4.179728317659353,0.2266203353980964,0.0,0.0,2.6123301985370952,6.49644961474543,0.0,0.7554011179936546,3.134796238244514,2.0395830185828676,0.0,-0.2266203353980964,89.08045977011493,15.04381326484364,-0.6365062761517866,-1.0970153403308345,2.03259611376478,-0.9399775598149319,,,,,,,36406,58.62479871175523,,,,,,,,,,,,,,,,,insufficient_history,True
2006Q2,2006Q2,2006-08-10 00:01:00,6.5274151436031325,2.4681201151789387,0.0,0.0,8.485639686684074,10.530645824763472,0.0,0.658165364047717,1.3054830287206267,1.7276840806252571,0.0,-1.4463183874948577,54.47127937336816,25.97285067873303,-0.6365062761517866,-3.2805718064607,-2.6794980974732407,-0.054266414749218124,0.8122060640529242,0.8775593246351286,0.12244067536487135,0.18779393594707583,0.8167721324193157,-2.036399040260467,36356,59.40522875816993,0.31715128718119184,0.18788114252565982,0.6828487128188081,0.8121188574743402,5.873309488146979,0.0,-1.8293132095238873,2.3476868259437795,0.0,4.034196210018042,-0.09723575394593764,-0.3118989379576105,2.2414997797808422,0.0,-0.6365062761517866,0.0,last_available,True
2006Q3,2006Q3,2006-11-14 17:01:00,0.0,0.0,0.0,0.0,3.667481662591687,12.354289130218193,0.0,0.6974195476736077,2.444987775061125,1.5941018232539603,0.0,0.0,64.05867970660147,29.22686061572184,-0.6365062761517866,-0.6913097660172866,-1.3741584999109504,0.20944508684037075,0.8637317857665802,0.8959588959596924,0.10404110404030764,0.13626821423341984,0.849492695451443,-1.2543208733657145,32622,60.975700934579436,0.40510839122740977,0.33528046209757906,0.5948916087725902,0.6647195379024209,-4.818158024092387,0.0,1.1395047463404981,-6.5274151436031325,0.0,1.8236433054547216,0.039254183625890726,-0.1335822573712968,-2.4681201151789387,0.0,-0.6365062761517866,0.0,last_available,True
2006Q4,2006Q4,2007-02-09 17:45:00,8.818342151675484,0.07618467164406521,0.0,0.0,2.9394473838918285,8.60886789577937,0.0,0.6856620447965869,1.1757789535567313,1.8284321194575652,0.0,0.0,93.41563786008231,31.631113819899436,-0.6365062761517866,-0.6913097660172866,2.622837412409963,0.40429059590540195,0.8295276373054904,0.8793084151549805,0.12069158484501952,0.1704723626945096,0.8462568987374286,-1.3316620230291751,37597,62.55740432612313,0.2570184957641674,0.18410146150250764,0.7429815042358325,0.8158985384974924,-0.7280342786998584,0.0,-1.2692088215043935,8.818342151675484,0.0,-3.7454212344388225,-0.01175750287702082,0.2343302962036049,0.07618467164406521,0.0,-0.6365062761517866,0.0,last_available,True
2007Q1,2007Q1,2007-05-10 19:40:00,3.902439024390244,0.18443378827001108,0.0,0.09221689413500554,6.829268292682927,12.818148284765769,0.0,0.9221689413500553,0.0,1.383253412025083,0.0,-0.09221689413500554,68.53658536585367,30.79859830320914,-0.6365062761517866,-0.8564004580363063,-0.7644846187746123,0.33682186616753523,0.8452544413468014,0.8899530963327981,0.11004690366720193,0.1547455586531986,0.8678506357225637,-0.8155342833823948,36889,58.461172741679874,0.4821418135092211,0.37192225450698735,0.517858186490779,0.6280777454930127,3.889820908791098,0.0,-1.1757789535567313,-4.91590312728524,0.0,4.209280388986398,0.23650689655346846,-0.4451787074324822,0.10824911662594587,0.09221689413500554,-0.6365062761517866,0.0,last_available,True
2007Q2,2007Q2,2007-08-08 17:30:00,6.529850746268656,0.50801944988751,0.0,0.29029682850714855,5.597014925373134,8.346033819580521,0.9328358208955224,3.1932651135786343,0.9328358208955224,2.3223746280571884,0.0,-0.01451484142535744,74.8134328358209,20.179258291603162,-0.6365062761517866,-0.7172948660137195,0.09011801234799179,-0.5237907793311704,0.8633370687551281,0.8891530268860567,0.11084697311394331,0.13666293124487194,0.8740701910260159,-0.6668761320587626,42085,60.29369627507163,0.5312460439547152,0.4374899235469442,0.4687539560452848,0.5625100764530557,-1.2322533673097924,0.9328358208955224,0.9328358208955224,2.6274117218784125,0.0,-4.472114465185248,2.271096172228579,0.9391212160321054,0.3235856616174989,0.198079934372143,-0.6365062761517866,0.0,last_available,True
2007Q3,2007Q3,2007-11-08 17:57:00,6.993006993006993,0.4734288081429755,0.0,0.05917860101787194,5.994005994005994,7.63403953130548,0.0,1.4794650254467985,0.999000999000999,3.2548230559829565,0.0,-0.05917860101787194,71.57842157842157,18.187063557817496,-0.6365062761517866,-0.7972538697132416,-0.3503338459316147,-0.6852422422580632,0.8742798068605492,0.8954242339556918,0.10457576604430818,0.12572019313945082,0.8874760291139877,-0.34645336710711716,39980,59.142011834319526,0.6088616585529069,0.5579776150907404,0.39113834144709314,0.4420223849092596,0.39699106863286016,-0.9328358208955224,0.06616517810547662,0.463156246738337,0.0,-0.711994288275041,-1.7138000881318358,0.9324484279257681,-0.03459064174453452,-0.23111822748927663,-0.6365062761517866,0.0,historical_mean_constant,True
2007Q4,2007Q4,2008-02-22 17:02:00,4.440497335701599,0.18286550242296792,0.0,0.0,3.108348134991119,10.057602633263235,0.44404973357015987,1.9200877754411632,3.108348134991119,1.828655024229679,0.0,0.0,67.60435168738898,25.49327969278595,-0.6365062761517866,-0.6913097660172866,-0.8914096967295781,-0.09313181075963582,0.8830571026531465,0.9041325307535544,0.09586746924644562,0.11694289734685348,0.8835388680493265,-0.4405583403374468,42022,59.18591549295775,0.537526526229352,0.45328848972623376,0.46247347377064796,0.5467115102737663,-2.8856578590148754,0.44404973357015987,2.10934713599012,-2.5525096573053947,0.0,2.423563101957755,0.4406227499943647,-1.4261680317532774,-0.29056330572000755,-0.05917860101787194,-0.6365062761517866,0.0,historical_mean_constant,True
2008Q1,2008Q1,2008-05-14 17:59:00,5.9473237043330505,0.200300450676014,0.0,0.0,4.248088360237893,6.810215322984477,1.6992353440951573,2.00300450676014,0.8496176720475787,1.802704056084126,0.0,0.4807210816224337,77.82073067119796,16.617926890335497,-0.6365062761517866,0.16929800848650878,0.4995663309473223,-0.8124082296993562,0.8737981254764131,0.8992254976396243,0.10077450236037566,0.1262018745235869,0.8859908485654209,-0.3819517562940765,40712,62.63384615384616,0.6206118780714912,0.5403131137156676,0.3793881219285088,0.4596868862843324,1.1397402252467739,1.2551856105249974,-2.2587304629435403,1.5068263686314518,0.0,-3.247387310278758,0.0829167313189767,-0.025950968145552977,0.01743494825304609,0.0,-0.6365062761517866,0.0,historical_mean_constant,True
2008Q2,2008Q2,2008-08-15 16:23:00,2.1037868162692845,0.6554034372269152,0.0,0.0,4.908835904628331,8.447422079813574,0.7012622720897616,1.5292746868628022,0.7012622720897616,1.966210311680746,0.0,-0.29129041654529564,69.7405329593268,17.540052432274983,-0.6365062761517866,-1.2127905304373998,-0.6005652649845422,-0.7376773235165667,0.8727482229343654,0.8991925802929948,0.10080741970700524,0.12725177706563462,0.8614352659253443,-0.9688727404876407,40263,60.00447093889717,0.5698260215515936,0.5326496508175302,0.43017397844840644,0.46735034918246976,0.6607475443904383,-0.9979730720053958,-0.1483553999578171,-3.843536888063766,0.0,1.637206756829097,-0.47372981989733765,0.1635062555966198,0.4551029865509012,0.0,-0.6365062761517866,0.0,historical_mean_constant,True
