report_id,report_period,section,found,raw_positive_count,raw_negative_count,raw_dovish_count,raw_hawkish_count,normalized_sentiment,normalized_policy_stance,effective_chars,sentence_count,attention_growth,attention_inflation,attention_risk,attention_exchange_rate,attention_financial_stability,z_sentiment,z_policy_stance
2006Q1,2006Q1,guidance,True,183.49999999999997,13.0,0.0,0.0,89.08045977011493,0.0,1914,33,2.6123301985370952,0.0,3.134796238244514,4.179728317659353,0.0,2.03259611376478,-0.6365062761517866
2006Q1,2006Q1,macro,True,366.4500000000001,167.3,2.0,5.0,15.04381326484364,-0.2266203353980964,13238,276,6.49644961474543,0.7554011179936546,2.0395830185828676,0.2266203353980964,0.0,-0.9399775598149319,-1.0970153403308345
2006Q2,2006Q2,guidance,True,106.85000000000001,23.4,0.0,0.0,54.47127937336816,0.0,1532,30,8.485639686684074,0.0,1.3054830287206267,6.5274151436031325,0.0,-2.6794980974732407,-0.6365062761517866
2006Q2,2006Q2,macro,True,487.95,172.25,2.0,19.58,25.97285067873303,-1.4463183874948577,12155,259,10.530645824763472,0.658165364047717,1.7276840806252571,2.4681201151789387,0.0,-0.054266414749218124,-3.2805718064607
2006Q3,2006Q3,guidance,True,59.5,7.1,0.0,0.0,64.05867970660147,0.0,818,14,3.667481662591687,0.0,2.444987775061125,0.0,0.0,-1.3741584999109504,-0.6365062761517866
2006Q3,2006Q3,macro,True,392.1500000000001,98.80000000000001,5.0,5.0,29.22686061572184,0.0,10037,196,12.354289130218193,0.6974195476736077,1.5941018232539603,0.0,0.0,0.20944508684037075,-0.6913097660172866
2006Q4,2006Q4,guidance,True,172.9,14.0,0.0,0.0,93.41563786008231,0.0,1701,33,2.9394473838918285,0.0,1.1757789535567313,8.818342151675484,0.0,2.622837412409963,-0.6365062761517866
2006Q4,2006Q4,macro,True,539.24,124.05000000000001,8.0,8.0,31.631113819899436,0.0,13126,233,8.60886789577937,0.6856620447965869,1.8284321194575652,0.07618467164406521,0.0,0.40429059590540195,-0.6913097660172866
2007Q1,2007Q1,guidance,True,80.25,10.0,0.0,0.0,68.53658536585367,0.0,1025,15,6.829268292682927,0.0,0.0,3.902439024390244,0.0,-0.7644846187746123,-0.6365062761517866
2007Q1,2007Q1,macro,True,451.7299999999999,117.75,1.0,2.0,30.79859830320914,-0.09221689413500554,10844,244,12.818148284765769,0.9221689413500553,1.383253412025083,0.18443378827001108,0.09221689413500554,0.33682186616753523,-0.8564004580363063
2007Q2,2007Q2,guidance,True,92.2,12.0,0.0,0.0,74.8134328358209,0.0,1072,17,5.597014925373134,0.9328358208955224,0.9328358208955224,6.529850746268656,0.0,0.09011801234799179,-0.6365062761517866
2007Q2,2007Q2,macro,True,516.3499999999999,238.29999999999998,2.0,2.2,20.179258291603162,-0.01451484142535744,13779,268,8.346033819580521,3.1932651135786343,2.3223746280571884,0.50801944988751,0.29029682850714855,-0.5237907793311704,-0.7172948660137195
2007Q3,2007Q3,guidance,True,85.64999999999999,14.0,0.0,0.0,71.57842157842157,0.0,1001,18,5.994005994005994,0.0,0.999000999000999,6.993006993006993,0.0,-0.3503338459316147,-0.6365062761517866
2007Q3,2007Q3,macro,True,609.4150000000001,302.09000000000003,1.0,2.0,18.187063557817496,-0.05917860101787194,16898,337,7.63403953130548,1.4794650254467985,3.2548230559829565,0.4734288081429755,0.05917860101787194,-0.6852422422580632,-0.7972538697132416
2007Q4,2007Q4,guidance,True,173.245,21.0,0.0,0.0,67.60435168738898,0.0,2252,42,3.108348134991119,0.44404973357015987,3.108348134991119,4.440497335701599,0.0,-0.8914096967295781,-0.6365062761517866
2007Q4,2007Q4,macro,True,432.5999999999999,153.77999999999997,2.0,2.0,25.49327969278595,0.0,10937,232,10.057602633263235,1.9200877754411632,1.828655024229679,0.18286550242296792,0.0,-0.09313181075963582,-0.6913097660172866
2008Q1,2008Q1,guidance,True,107.595,16.0,0.0,0.0,77.82073067119796,0.0,1177,23,4.248088360237893,1.6992353440951573,0.8496176720475787,5.9473237043330505,0.0,0.4995663309473223,-0.6365062761517866
2008Q1,2008Q1,macro,True,368.9,202.97000000000003,7.800000000000001,3.0,16.617926890335497,0.4807210816224337,9985,190,6.810215322984477,2.00300450676014,1.802704056084126,0.200300450676014,0.0,-0.8124082296993562,0.16929800848650878
